                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.4044,                 6.8748,                 2.5413,                      0,                      0,                      0,                      0,                 3.8511,                 6.5374,                 2.2617,                    0.1,                      0,                      0
                      2,                 4.5005,                 5.9997,                 2.3517,                      0,                      0,                      0,                      0,                 4.1132,                 6.2931,                  2.345,               0.099098,              9.802e-05,              9.802e-05
                      3,                 4.9211,                 5.9252,                 2.2956,                      0,                      0,                      0,                      0,                 4.6786,                 6.6553,                 2.5087,               0.098192,             0.00019208,             0.00019208
                      4,                 4.0257,                 5.4175,                 1.9286,                      0,                      0,                      0,                      0,                  6.391,                 8.3033,                 5.3716,               0.097282,             0.00028218,             0.00028218
                      5,                  3.565,                 5.1332,                 1.7395,                      0,                      0,                      0,                      0,                 6.3579,                 7.2349,                 6.3302,               0.096368,             0.00036832,             0.00036832
                      6,                 4.9562,                 5.0189,                 1.9108,                      0,                      0,                      0,                      0,                 6.4623,                  7.018,                 7.7034,               0.095451,              0.0004505,              0.0004505
                      7,                 4.5796,                 4.6325,                 1.5318,                      0,                      0,                      0,                      0,                 6.4529,                 7.0566,                 8.6268,               0.094529,             0.00052872,             0.00052872
                      8,                 3.9034,                 4.5903,                 2.2163,                      0,                      0,                      0,                      0,                 6.4523,                 6.7821,                  9.206,               0.093603,             0.00060298,             0.00060298
                      9,                 3.2664,                  3.938,                 1.5355,                      0,                      0,                      0,                      0,                 6.4316,                 6.3887,                 9.2467,               0.092673,             0.00067328,             0.00067328
                     10,                 3.3294,                 3.5951,                 1.3422,                      0,                      0,                      0,                      0,                 6.4223,                 5.9328,                 9.1545,                0.09174,             0.00073962,             0.00073962
                     11,                 3.0909,                 4.5046,                 1.4671,                      0,                      0,                      0,                      0,                  6.379,                 5.4238,                 8.2353,               0.090802,               0.000802,               0.000802
                     12,                  3.057,                 3.4304,                 1.4016,                      0,                      0,                      0,                      0,                 5.7646,                 5.1579,                 6.1978,                0.08986,             0.00086042,             0.00086042
                     13,                  3.409,                  3.899,                 1.2988,                      0,                      0,                      0,                      0,                 4.8232,                 4.9003,                 3.6547,               0.088915,             0.00091488,             0.00091488
                     14,                 3.1209,                 3.5577,                 1.5099,                      0,                      0,                      0,                      0,                 4.0151,                 4.7857,                 2.2996,               0.087965,             0.00096538,             0.00096538
                     15,                 3.0685,                 3.3097,                 1.4151,                      0,                      0,                      0,                      0,                 3.5292,                 4.4993,                   1.97,               0.087012,              0.0010119,              0.0010119
                     16,                 2.4591,                  3.186,                 1.2865,                      0,                      0,                      0,                      0,                 3.0951,                 4.4076,                 1.6769,               0.086055,              0.0010545,              0.0010545
                     17,                 3.0253,                  2.922,                 1.1929,                      0,                      0,                      0,                      0,                 2.9816,                   4.39,                 1.6606,               0.085093,              0.0010931,              0.0010931
                     18,                 4.0019,                 3.4659,                  1.343,                      0,                      0,                      0,                      0,                 2.9816,                   4.39,                 1.6606,               0.084128,              0.0011278,              0.0011278
                     19,                 2.2563,                 2.7407,                 1.2966,                      0,                      0,                      0,                      0,                 2.9172,                 4.3202,                 1.6796,               0.083158,              0.0011585,              0.0011585
                     20,                 2.7332,                  3.166,                 1.4449,                      0,                      0,                      0,                      0,                 2.9172,                 4.3202,                 1.6796,               0.082185,              0.0011852,              0.0011852
                     21,                 2.6277,                 2.4089,                 1.4258,                      0,                      0,                      0,                      0,                  2.872,                 4.2923,                 1.5821,               0.081208,               0.001208,               0.001208
                     22,                 2.6546,                 2.5079,                 1.2979,                      0,                      0,                      0,                      0,                  2.872,                 4.2923,                 1.5821,               0.080227,              0.0012268,              0.0012268
                     23,                 3.9509,                 3.0597,                 1.3852,                      0,                      0,                      0,                      0,                 3.0097,                  4.265,                 1.5763,               0.079242,              0.0012417,              0.0012417
                     24,                 2.7759,                 2.5772,                 1.1802,                      0,                      0,                      0,                      0,                 3.0097,                  4.265,                 1.5763,               0.078253,              0.0012526,              0.0012526
                     25,                 2.7037,                 2.7352,                 1.3882,                      0,                      0,                      0,                      0,                 3.0196,                 4.3343,                 1.5595,                0.07726,              0.0012595,              0.0012595
                     26,                 3.3749,                   3.39,                 1.2255,                      0,                      0,                      0,                      0,                 3.0196,                 4.3343,                 1.5595,               0.076263,              0.0012625,              0.0012625
                     27,                  2.866,                 3.0646,                 1.2523,                      0,                      0,                      0,                      0,                 2.9719,                 4.4171,                 1.5114,               0.075262,              0.0012615,              0.0012615
