                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9999,                 6.7417,                 3.0081,                      0,                      0,                      0,                      0,                  3.991,                  7.373,                 2.7259,                    0.1,                      0,                      0
                      2,                 4.3187,                 10.287,                 2.9059,                      0,                      0,                      0,                      0,                 4.1366,                 6.9588,                 2.9724,               0.099001,             9.9505e-07,             9.9505e-07
                      3,                 4.3602,                 8.1181,                 2.7295,                      0,                      0,                      0,                      0,                 4.5151,                 6.8089,                 3.1584,               0.098002,             1.9802e-06,             1.9802e-06
                      4,                 3.1465,                 5.4119,                 2.6071,                      0,                      0,                      0,                      0,                  4.226,                 6.5395,                 3.1716,               0.097003,             2.9554e-06,             2.9554e-06
                      5,                 4.7243,                 6.3496,                  3.206,                      0,                      0,                      0,                      0,                 4.3395,                 6.3653,                 3.2859,               0.096004,             3.9208e-06,             3.9208e-06
                      6,                 3.8168,                 5.9187,                 3.0918,                      0,                      0,                      0,                      0,                 5.3764,                 5.9571,                 3.7755,               0.095005,             4.8762e-06,             4.8762e-06
                      7,                 5.0089,                 8.2967,                 2.7359,                      0,                      0,                      0,                      0,                 5.5548,                 5.6245,                 3.7666,               0.094006,             5.8218e-06,             5.8218e-06
                      8,                 3.2119,                 5.3888,                 2.6456,                      0,                      0,                      0,                      0,                 4.7697,                 5.8822,                 3.0432,               0.093007,             6.7574e-06,             6.7574e-06
                      9,                 4.3227,                 5.0882,                  2.398,                      0,                      0,                      0,                      0,                 4.7697,                 5.8822,                 3.0432,               0.092008,             7.6832e-06,             7.6832e-06
                     10,                   4.45,                 5.3381,                 2.8014,                      0,                      0,                      0,                      0,                 3.8978,                 5.5714,                 2.5496,               0.091009,              8.599e-06,              8.599e-06
                     11,                 3.3144,                 5.7741,                 2.6159,                      0,                      0,                      0,                      0,                 3.8978,                 5.5714,                 2.5496,                0.09001,              9.505e-06,              9.505e-06
                     12,                  4.463,                 5.0566,                 2.4991,                      0,                      0,                      0,                      0,                 3.6793,                 5.2569,                 2.4118,                0.08901,             1.0401e-05,             1.0401e-05
                     13,                 4.4106,                 5.8796,                 2.8423,                      0,                      0,                      0,                      0,                 3.6793,                 5.2569,                 2.4118,               0.088011,             1.1287e-05,             1.1287e-05
                     14,                 4.3976,                 5.0508,                 3.0282,                      0,                      0,                      0,                      0,                 3.8034,                 5.3525,                 2.4492,               0.087012,             1.2163e-05,             1.2163e-05
                     15,                  5.128,                 7.0026,                 2.5143,                      0,                      0,                      0,                      0,                 3.8034,                 5.3525,                 2.4492,               0.086013,              1.303e-05,              1.303e-05
                     16,                 5.0818,                 5.7311,                 3.2059,                      0,                      0,                      0,                      0,                 3.7922,                 5.2241,                 2.4422,               0.085014,             1.3886e-05,             1.3886e-05
                     17,                 4.1259,                 5.1519,                 3.1483,                      0,                      0,                      0,                      0,                 3.7922,                 5.2241,                 2.4422,               0.084015,             1.4733e-05,             1.4733e-05
                     18,                 3.5231,                 5.0126,                 2.8117,                      0,                      0,                      0,                      0,                 3.6628,                  5.126,                 2.3968,               0.083016,             1.5569e-05,             1.5569e-05
                     19,                 4.0198,                 4.9446,                 2.6291,                      0,                      0,                      0,                      0,                 3.6628,                  5.126,                 2.3968,               0.082016,             1.6396e-05,             1.6396e-05
                     20,                 2.8328,                 5.0286,                 2.6151,                      0,                      0,                      0,                      0,                 3.5474,                 4.9955,                 2.3404,               0.081017,             1.7213e-05,             1.7213e-05
                     21,                 3.8052,                 4.9771,                 3.0505,                      0,                      0,                      0,                      0,                 3.5474,                 4.9955,                 2.3404,               0.080018,              1.802e-05,              1.802e-05
                     22,                 4.5111,                 5.6967,                 3.9946,                      0,                      0,                      0,                      0,                  3.342,                 4.9412,                 2.2198,               0.079019,             1.8817e-05,             1.8817e-05
                     23,                 2.9809,                 5.8565,                 1.6847,                      0,                      0,                      0,                      0,                  3.342,                 4.9412,                 2.2198,                0.07802,             1.9604e-05,             1.9604e-05
                     24,                 3.2452,                 4.7785,                  2.177,                      0,                      0,                      0,                      0,                  3.342,                 4.9412,                 2.2198,                0.07702,             2.0381e-05,             2.0381e-05
                     25,                 3.4347,                 4.8199,                 2.4824,                      0,                      0,                      0,                      0,                 3.3071,                  4.967,                 2.2115,               0.076021,             2.1149e-05,             2.1149e-05
                     26,                 2.5302,                 5.2078,                 1.8724,                      0,                      0,                      0,                      0,                 3.3071,                  4.967,                 2.2115,               0.075022,             2.1906e-05,             2.1906e-05
                     27,                 3.2275,                 4.7586,                 2.4825,                      0,                      0,                      0,                      0,                 3.3071,                  4.967,                 2.2115,               0.074023,             2.2654e-05,             2.2654e-05
                     28,                 3.0259,                 4.7919,                 2.2128,                      0,                      0,                      0,                      0,                 3.2333,                 4.9649,                 2.1287,               0.073023,             2.3391e-05,             2.3391e-05
                     29,                 3.9886,                 6.4935,                 1.8024,                      0,                      0,                      0,                      0,                 3.2333,                 4.9649,                 2.1287,               0.072024,             2.4119e-05,             2.4119e-05
                     30,                 2.2255,                  4.673,                 2.1495,                      0,                      0,                      0,                      0,                 3.2333,                 4.9649,                 2.1287,               0.071025,             2.4837e-05,             2.4837e-05
                     31,                 3.5666,                 4.9099,                 2.4268,                      0,                      0,                      0,                      0,                 2.9253,                 5.0341,                 2.0363,               0.070026,             2.5545e-05,             2.5545e-05
                     32,                  2.928,                 4.5224,                 2.1526,                      0,                      0,                      0,                      0,                 2.9253,                 5.0341,                 2.0363,               0.069026,             2.6243e-05,             2.6243e-05
                     33,                  3.644,                 4.6039,                 2.3402,                      0,                      0,                      0,                      0,                 2.9253,                 5.0341,                 2.0363,               0.068027,             2.6931e-05,             2.6931e-05
                     34,                  3.302,                  5.293,                 1.5898,                      0,                      0,                      0,                      0,                 2.8178,                 5.0552,                 2.0196,               0.067028,             2.7609e-05,             2.7609e-05
                     35,                 3.4885,                  5.121,                 1.9606,                      0,                      0,                      0,                      0,                 2.8178,                 5.0552,                 2.0196,               0.066028,             2.8278e-05,             2.8278e-05
                     36,                 3.6604,                 4.6548,                 1.8863,                      0,                      0,                      0,                      0,                 2.8178,                 5.0552,                 2.0196,               0.065029,             2.8936e-05,             2.8936e-05
                     37,                 3.6151,                 5.0003,                 1.7034,                      0,                      0,                      0,                      0,                 2.8178,                 5.0552,                 2.0196,                0.06403,             2.9585e-05,             2.9585e-05
